Row,npc1_avg_control_speed,npc1_max_control_speed,npc2_avg_control_speed,npc2_max_control_speed,npc1_number_lane_changes,npc2_number_lane_changes,ego_max_speed,npc1_max_speed,npc2_max_speed,npc_avg_dist,max_npc_dist,min_npc_dist,type_npc_max_dist,type_npc_min_dist,op_npc_max_dist,op_npc_min_dist,ctrl_speed_npc_max_dist,ctrl_speed_npc_min_dist,speed_npc_min_dist,speed_npc_max_dist,avg_speed_npcs,max_npc_speed,type_npc_max_speed,op_npc_max_speed,ctrl_speed_npc_max_speed,dist_av_npc_max_speed
scenario0,17.1393969312638,28.8845020715655,16.0905662497366,25.3202354779844,5,6,11.1512732205555,25.768866283149,23.9419579801007,28.0634861343512,80.2367034359254,2.78698921417099,2,1,0,2,18.315297484331,27.347877945891,22.2330816028275,10.9465766820966,9.0649198741047,25.768866283149,1,2,25.7689888555873,55.0626694282815
scenario1,20.0239192389203,27.7126590222194,12.636820152194,25.0162683265547,6,6,11.650318937039,20.7279544514616,21.858268591265,10.7768761440501,23.3236516225243,2.52212107509993,2,2,0,1,20.4167366759671,7.1237751890396,3.12898696317283,6.33041394760729,8.00132512755335,21.858268591265,2,0,25.0162683265547,5.48175811361431
scenario2,11.6494220440081,26.1057831604086,15.8646322579995,26.8624551624723,6,7,11.6863745703007,26.1012280559279,26.8484074916495,21.508107141624,85.7626067056692,3.79947625972404,2,2,1,0,26.7160972964808,26.8624551624723,20.7878616451553,26.6930724195233,9.33382527827001,26.8484074916495,2,2,1.59655655973665,40.3328134998101
scenario3,14.7241609675601,26.8177606134434,13.1887111020048,26.5918748935083,9,7,11.6722333797472,26.7562708488877,26.5834386601531,27.8353752578102,80.7756052825397,3.77076429115523,2,2,1,2,26.5918748935083,19.8139159554003,19.7401048883827,12.2402012297889,8.96379221460828,26.7562708488877,1,1,25.3442341584345,23.5499973884577
scenario4,12.6205408313136,27.0736889823387,13.7421325720777,22.0878682407659,8,2,11.7126404565831,24.1200425738467,19.4062357482758,22.4948615940906,48.2472749992897,3.36290062798761,1,2,1,1,2.11467580838858,11.2830017675612,1.71227342997605,1.12539569242198,7.27507651021746,24.1200425738467,1,2,27.0736889823387,20.8770790648154
scenario5,16.7309928604149,29.4082755277703,18.647518872174,27.524793881926,7,5,11.6600266789586,29.161475625411,27.5245890244687,45.0185513727783,123.520434804323,3.43816913965512,2,1,1,0,27.1946233144425,24.453862399664,20.7539665703963,14.4121991520942,10.4179860880354,29.161475625411,1,0,29.4082755277703,10.7594792062652
scenario6,14.5336642634207,29.2382416522843,17.6569245033969,28.2332123060685,5,7,11.6803081699527,25.6398477739087,28.2275374895394,34.3857261607908,97.1708696521451,3.55878130962078,2,1,2,2,21.2992135587786,23.828377070858,5.8663305086562,11.0399531175928,9.86361193734411,28.2275374895394,2,1,28.2332123060685,60.0142326417728
scenario7,19.467572811186,29.8655888323828,16.9151127818278,26.6744737856776,7,6,11.6553403045136,18.7253550963024,26.2909697710329,36.3781844576113,117.708721731659,2.85355945337445,1,2,2,2,19.9817261932857,14.9162913524316,6.09651125495437,0,6.12903970787218,26.2909697710329,2,0,26.3037360178254,11.7644581418173
scenario8,14.0927867666968,25.1307014436462,15.384946212197,28.6028575041246,6,4,11.6932966106099,23.1111831986903,25.9957087468213,19.9720054453051,65.1653823175848,3.72242048761953,1,2,1,0,17.4896079952947,28.6028575041246,25.9957087468213,7.79900555142529,8.2942990709107,25.9957087468213,2,0,28.6028575041246,3.72242048761953
scenario9,17.687678032131,27.0082170007354,17.2009901305888,28.9660275202682,5,5,11.6547158607029,25.9811410440732,28.9539774384772,18.5863588330953,61.0113604045629,3.68546560470297,2,1,2,2,7.88508431584179,17.8928900139589,2.78657575015282,28.9539774384772,8.50230362076895,28.9539774384772,2,2,7.88508431584179,61.0113604045629
